record_id,source_sheet,source_row_start,source_row_end,list_type,status,jurisdiction,source_label,mercosur_norm,local_norm,source_url,entry_number_ar,entry_number_eu,ingredient_name_es,inci_name,cas_number,ec_number,color_index,color,application_area,max_concentration,unit,expressed_as,limitations,warnings,conditions_raw,notes,needs_review,review_reason
R00001,prohibidos,2,2,Prohibidos,prohibited,Argentina / MERCOSUR,Prohibidos,MERCOSUR/GMC/RES. N° 62/14,Disposición Nº 6433/2015,https://www.argentina.gob.ar/normativa/nacional/disposici%C3%B3n-6433-2015-250672/texto,1,1,N-5-clorobenzoxazol-2- ilacetamida,,35783-57-4,-,,,,,,,,,1 | 1 | N-5-clorobenzoxazol-2- ilacetamida | 35783-57-4 | -,,,
R00002,prohibidos,3,3,Prohibidos,prohibited,Argentina / MERCOSUR,Prohibidos,MERCOSUR/GMC/RES. N° 62/14,Disposición Nº 6433/2015,https://www.argentina.gob.ar/normativa/nacional/disposici%C3%B3n-6433-2015-250672/texto,2,2,Hidróxido de 2-acetoxietiltrimetilamonio (acetilcolina) y sus sales,,51-84-3,200-128-9,,,,,,,,,2 | 2 | Hidróxido de 2-acetoxietiltrimetilamonio (acetilcolina) y sus sales | 51-84-3 | 200-128-9,,,
R00003,prohibidos,4,4,Prohibidos,prohibited,Argentina / MERCOSUR,Prohibidos,MERCOSUR/GMC/RES. N° 62/14,Disposición Nº 6433/2015,https://www.argentina.gob.ar/normativa/nacional/disposici%C3%B3n-6433-2015-250672/texto,3,3,Aceglutamato de deanol * (Acetoglutamato),,3342-61-8,222-085-5,,,,,,,,,3 | 3 | Aceglutamato de deanol * (Acetoglutamato) | 3342-61-8 | 222-085-5,,,
R00004,prohibidos,5,5,Prohibidos,prohibited,Argentina / MERCOSUR,Prohibidos,MERCOSUR/GMC/RES. N° 62/14,Disposición Nº 6433/2015,https://www.argentina.gob.ar/normativa/nacional/disposici%C3%B3n-6433-2015-250672/texto,4,4,Espironolactona*,,52-01-7,200-133-6,,,,,,,,,4 | 4 | Espironolactona* | 52-01-7 | 200-133-6,,,
R00005,prohibidos,6,6,Prohibidos,prohibited,Argentina / MERCOSUR,Prohibidos,MERCOSUR/GMC/RES. N° 62/14,Disposición Nº 6433/2015,https://www.argentina.gob.ar/normativa/nacional/disposici%C3%B3n-6433-2015-250672/texto,5,5,"Ácido [4-(4-hidroxi-3-yodofenoxi)-3,5-diyodofenil] acético (tiratricol)* y sus sales",,51-24-1,200-086-1,,,,,,,,,"5 | 5 | Ácido [4-(4-hidroxi-3-yodofenoxi)-3,5-diyodofenil] acético (tiratricol)* y sus sales | 51-24-1 | 200-086-1",,,
R00006,prohibidos,7,7,Prohibidos,prohibited,Argentina / MERCOSUR,Prohibidos,MERCOSUR/GMC/RES. N° 62/14,Disposición Nº 6433/2015,https://www.argentina.gob.ar/normativa/nacional/disposici%C3%B3n-6433-2015-250672/texto,6,6,Metotrexato*,,59-05-2,200-413-8,,,,,,,,,6 | 6 | Metotrexato* | 59-05-2 | 200-413-8,,,
R00007,prohibidos,8,8,Prohibidos,prohibited,Argentina / MERCOSUR,Prohibidos,MERCOSUR/GMC/RES. N° 62/14,Disposición Nº 6433/2015,https://www.argentina.gob.ar/normativa/nacional/disposici%C3%B3n-6433-2015-250672/texto,7,7,Ácido aminocaproico* y sus sales,,60-32-2,200-469-3,,,,,,,,,7 | 7 | Ácido aminocaproico* y sus sales | 60-32-2 | 200-469-3,,,
R00008,prohibidos,9,9,Prohibidos,prohibited,Argentina / MERCOSUR,Prohibidos,MERCOSUR/GMC/RES. N° 62/14,Disposición Nº 6433/2015,https://www.argentina.gob.ar/normativa/nacional/disposici%C3%B3n-6433-2015-250672/texto,8,8,"Cincofeno*, sus sales, derivados y las sales de sus derivados",,132-60-5,205-067-1,,,,,,,,,"8 | 8 | Cincofeno*, sus sales, derivados y las sales de sus derivados | 132-60-5 | 205-067-1",,,
R00009,prohibidos,10,10,Prohibidos,prohibited,Argentina / MERCOSUR,Prohibidos,MERCOSUR/GMC/RES. N° 62/14,Disposición Nº 6433/2015,https://www.argentina.gob.ar/normativa/nacional/disposici%C3%B3n-6433-2015-250672/texto,9,9,Ácido tiroprópico* y sus sales,,51-26-3,-,,,,,,,,,9 | 9 | Ácido tiroprópico* y sus sales | 51-26-3 | -,,,
R00010,prohibidos,11,11,Prohibidos,prohibited,Argentina / MERCOSUR,Prohibidos,MERCOSUR/GMC/RES. N° 62/14,Disposición Nº 6433/2015,https://www.argentina.gob.ar/normativa/nacional/disposici%C3%B3n-6433-2015-250672/texto,10,10,Ácido tricloroacético,,76-03-9,200-927-2,,,,,,,,,10 | 10 | Ácido tricloroacético | 76-03-9 | 200-927-2,,,
R00011,prohibidos,12,12,Prohibidos,prohibited,Argentina / MERCOSUR,Prohibidos,MERCOSUR/GMC/RES. N° 62/14,Disposición Nº 6433/2015,https://www.argentina.gob.ar/normativa/nacional/disposici%C3%B3n-6433-2015-250672/texto,11,11,"Aconitum napellus L. (hojas, raíces y preparaciones galénicas)",,84603-50-9,283-252-6,,,,,,,,,"11 | 11 | Aconitum napellus L. (hojas, raíces y preparaciones galénicas) | 84603-50-9 | 283-252-6",,,
R00012,prohibidos,13,13,Prohibidos,prohibited,Argentina / MERCOSUR,Prohibidos,MERCOSUR/GMC/RES. N° 62/14,Disposición Nº 6433/2015,https://www.argentina.gob.ar/normativa/nacional/disposici%C3%B3n-6433-2015-250672/texto,12,12,Aconitina (alcaloide principal de Aconitum napellus L.) y sus sales,,302-27-2,206-121-7,,,,,,,,,12 | 12 | Aconitina (alcaloide principal de Aconitum napellus L.) y sus sales | 302-27-2 | 206-121-7,,,
R00013,prohibidos,14,14,Prohibidos,prohibited,Argentina / MERCOSUR,Prohibidos,MERCOSUR/GMC/RES. N° 62/14,Disposición Nº 6433/2015,https://www.argentina.gob.ar/normativa/nacional/disposici%C3%B3n-6433-2015-250672/texto,13,13,Adonis vernalis L. y sus preparaciones,,84649-73-0,283-458-6,,,,,,,,,13 | 13 | Adonis vernalis L. y sus preparaciones | 84649-73-0 | 283-458-6,,,
R00014,prohibidos,15,15,Prohibidos,prohibited,Argentina / MERCOSUR,Prohibidos,MERCOSUR/GMC/RES. N° 62/14,Disposición Nº 6433/2015,https://www.argentina.gob.ar/normativa/nacional/disposici%C3%B3n-6433-2015-250672/texto,14,14,Epinefrina*,,51-43-4,200-098-7,,,,,,,,,14 | 14 | Epinefrina* | 51-43-4 | 200-098-7,,,
R00015,prohibidos,16,16,Prohibidos,prohibited,Argentina / MERCOSUR,Prohibidos,MERCOSUR/GMC/RES. N° 62/14,Disposición Nº 6433/2015,https://www.argentina.gob.ar/normativa/nacional/disposici%C3%B3n-6433-2015-250672/texto,15,15,Alcaloides de Rauwolfia serpentina L. y sus sales,,90106-13-1,290-234-1,,,,,,,,,15 | 15 | Alcaloides de Rauwolfia serpentina L. y sus sales | 90106-13-1 | 290-234-1,,,
